ABVD_code,ABVD_language,Glottolog_code,ISO6393_code,ABVD_longitude,ABVD_latitude,Pulotu_culture,Phylo_TreeTaxaName,Dplace_HRAF_name_ID,Game_ID
1,Balinese,bali1278,ban,115.075,-8.35714,,Bali,Bali (OF07),bali01;bali02;bali03;bali04;bali05;bali06
11,Fijian (Bau),bauu1243,fij,,,Fiji (East),FijianBau,,lauu01;lauu02;lauu03;lauu04;lauu05;lauu06;lauu07;lauu08;lauu09;lauu10;lauu11;lauu12;lauu13;lauu14;lauu15;lauu16;lauu17;lauu18;lauu19;lauu20;lauu21;lauu22;lauu23;lauu24;lauu25;lauu26;lauu27;lauu29;lauu30;lauu31;p7
20,Javanese,java1254,jav,109.287,-7.001,,Javanese,Javanese (OE05),java01;java02;java03;java04
25,Mota,mota1237,mtt,167.690924,-13.835361,Mota,Mota,,mota01;mota02;mota03
26,Motu,motu1246,meu,147.424,-9.67492,Motu,Motu,,motu01;motu03;motu04;motu05;motu06;motu07;motu08;motu09;p27
28,Iban,iban1264,iba,112.934,2.09041,Iban,Iban,Iban (OC06),iban01;iban02;iban03;iban04;iban05;iban06;iban07;iban08;iban09;iban10
37,Bughotu,bugh1239,bgt,159.802,-8.47948,Bughotu,Bugotu,,p40;sant01;sant03;sant04
38,Marquesan,nort2845,mrq,-140.108,-8.89412,Marquesas,Marquesan,Marquesas (OX06),marq01;marq02;marq03;marq04;marq05;marq06;marq07;marq08;marq09;marq10;marq11;marq12;marq13;marq14;marq15;marq16;marq17
51,Bwaidoga,bwai1242,bwd,150.297,-9.51158,Goodenough Island,Bwaidoga,,good01;good02;good03;good04;good07;good08;good09;good10;good14;good16;good20;good21;good22;good23;good24;good25;good26;p12;p13;p14;p15;p16;p17;p18;p19;p20
52,Hawaiian,hawa1245,haw,-155.43,19.6297,Hawaii,Hawaiian,Hawaiians (OV05),hawa01;hawa02;hawa03;hawa04;hawa05;hawa06;hawa07;hawa08;hawa09;hawa10;hawa12;hawa13;hawa14;hawa15;hawa16;hawa17;hawa18;hawa19;hawa20;hawa21;hawa22;hawa23;hawa24;hawa25;hawa26;hawa27;hawa28;hawa29;hawa30;hawa31;hawa32;hawa33;hawa34;hawa36;hawa37;hawa38;hawa39;hawa40;hawa41;hawa42;hawa43;hawa44;hawa45;hawa46;hawa47;hawa48;hawa49;hawa50;hawa51;hawa52;hawa53;hawa54;hawa55;hawa56;hawa57;hawa58;hawa59;hawa60;hawa61;hawa62;hawa63;hawa64;hawa65;hawa66;hawa67;hawa68;hawa69;hawa70;hawa71;hawa72;hawa73;hawa74;hawa75;hawa76;hawa77;hawa78;hawa79;hawa80;hawa81;hawa82;hawa83;hawa84;hawa85;hawa86;hawa87;hawa88;hawa90;hawa91;hawa92;hawa93;p21;p22;p23
