"Description_ID","Source_ID","Game_ID","Geographic_location","Geographic_location_uncertainty"
"SG2AV","Speiser1923","121","Vanuatu",NA
"0BGJY","Speiser1923","129","Tongariki, Sheperd Islands, Vanuatu",NA
"ZWITA","Speiser1923","132","Eastern Santo, Vanuatu",NA
"YGGOO","Gustafsson1992","806","M'buke Island, Manus Province, Papua New Guinea",NA
"9K7AD","Gustafsson1992","806",NA,NA
"PMXZK","Gustafsson1992","806",NA,NA
"ZEUGN","Lewis1951","807","Kerepunu, Papua New Guinea",NA
"LRYYB","Geddes1945","808;828","Deuba",NA
"Z8RX7","Krieger1943","809;898;lauu27","Melanesian",NA
"ZWOGT","Barton1908","810","British New Guinea",NA
"KKSEO","LoebHeineGeldern1935","811;bata02;bata03;bata04","Bataks (Sumatra)",NA
"JVJ9Y","Lewis1951","812","Kerepunu, Papua New Guinea",NA
"C4NHG","Krieger1943","813;819","Qat New Hebrides (Vanuatu)",NA
"H3QSK","LoebHeineGeldern1935","814","Niha",NA
"D3J5W","BeagleholeBeaglehole1939","815;820;840","Polynesian",NA
"R4O8L","Lewis1951","816","Kerepunu, Papua New Guinea",NA
"9WWUX","Lewis1951","817","Kerepunu, Papua New Guinea",NA
"VMX7G","Lewis1951","818","Kerepunu, Papua New Guinea",NA
"RGVSN","Barton1908","821","Papua",NA
"YLMT1","Lewis1951","822;marq05","Kerepunu, Papua New Guinea",NA
"BBYCK","Lewis1951","823","Kerepunu, Papua New Guinea",NA
"H6AMJ","Lewis1951","824","Kerepunu, Papua New Guinea",NA
"EDLW4","Gill1894","825","Hervey Islanders (Manuae)",NA
"SUYRK","Lewis1951","826","Kerepunu, Papua New Guinea",NA
"FXJQX","CarrierCarrier1989","827;pona01;pona02","Ponam Island, Manus Province, Papua New Guinea",NA
"P3CKX","Gustafsson1992","827","M'buke, Manus Province, Papua New Guinea",NA
"3LERC","Gardner1907","829","Mindoro, Filipino",NA
"OEFHZ","Lewis1951","830","Kerepunu, Papua New Guinea",NA
"Q5DLL","LoebHeineGeldern1935","831","Bataks (Sumatra)",NA
"XMYEO","Gustafsson1992","832;manu12","M'buke Island, Manus Province, Papua New Guinea",NA
"JMMNH","Mead1956","832","New Peri, Manus Island, Papua New Guinea",NA
"CYBMT","Geddes1945","833;843","Deuba",NA
"NCFYK","Codrington1891","834","Florida",NA
"ST8GR","LoebHeineGeldern1935","835","Niha",NA
"JJW8D","Codrington1891","836","Solomon Islands",NA
"J4OAL","Deane1921","837","Fijians",NA
"ZXUF9","Haddon1908","838","Elevara (Port Moresby), Papua New Guinea",NA
"NU7CV","Lewis1951","839","Kerepunu, Papua New Guinea",NA
"5MRBA","Haddon1908","841","Veifaa, Mekeo District, Papua New Guinea",NA
"LNVQY","Haddon1908","842","Veifaa, Papua New Guinea",NA
"A6E1U","Haddon1908","844;yule01","Elevara (Port Moresby), Papua New Guinea",NA
"BVIK7","Haddon1908","845","Murray Island",NA
"XTJLE","LoebHeineGeldern1935","846","Niha",NA
"0EMYS","Fuhrmann1922","847","New Guinea",NA
"P81SV","Lewis1951","848","Kerepunu, Papua New Guinea",NA
"JXQRD","Lewis1951","849","Kerepunu, Papua New Guinea",NA
"XV8KM","Barton1908","850;851;852","Kerema",NA
"HMKNX","HoltzappelGeddes1953","853","Cheribon, Madjalenka (not in Parahiyangan)",NA
"GQHAB","Haddon1908","854","Veifaa, Papua New Guinea",NA
"WORGC","Brison1999","855","Fiji",NA
"LPGXZ","Haddon1908","856","Hula, Papua New Guinea",NA
"EZ7ZH","Haddon1908","857","Hula and Elevara (Port Moresby), Papua New Guinea",NA
"HFRXF","HoltzappelGeddes1953","858","Mentu Tapuh",NA
"VD9XN","Barton1908","859","Kaipe",NA
"WHQM6","Kuschel1975","860","Honiara",NA
"2M8XY","Haddon1908","861","Saguane, Kiwai Island, New Guinea",NA
"S9NSW","Haddon1908","862","Saguane, Kiwai Island, New Guinea",NA
"DE4EX","Haddon1908","863","Hula, Papua New Guinea",NA
"PZGUZ","Barton1908","864","Wanigela / Collingwood Bay",NA
"BD8FJ","Haddon1908","865","Saguane, Kiwai Island, New Guinea",NA
"KJWWX","OransPouesi1987","866","Fiji",NA
"SLQ8J","Deane1921","867","Fijians",NA
"SF1K4","Haddon1908","868","Hula, Papua New Guinea",NA
"KR5A7","Barton1908","869","Aroma",NA
"WZBOY","Barton1908","870;hula05","Wanigela",NA
"OKST7","Haddon1908","871","Saguane, Kiwai Island, New Guinea",NA
"GIVBU","Barton1908","872","Wanigela",NA
"CYBGJ","Haddon1908","873","Hula, Papua New Guinea",NA
"WWTTI","Haddon1908","874","Murray Island",NA
"ZM28O","Haddon1908","875","Elevara (Port Moresby), Papua New Guinea",NA
"CGG4H","Haddon1908","876","Saguane, Kiwai Island, New Guinea",NA
"KFD7X","Haddon1908","877","Saguane, Kiwai Island, New Guinea",NA
"NDQOY","Haddon1908","878","Saguane, Kiwai Island, New Guinea",NA
"GHPP8","Barton1908","879","Aroma",NA
"OJ5FE","Culin1899","880;tahi06","Fiji",NA
"XKLH4","Skinner1933","881","Aitutaki, Atiu / Cook Islands",NA
"ZDNZ7","unknown1914","882","Mauke",NA
"F2XCV","Smith1901","883","Atiu Island (Cook Group)",NA
"IXETB","Smith1901","883",NA,NA
"IRM3W","Haddon1908","884","Hula, Papua New Guinea",NA
"0SINI","Codrington1891","885","Banks Islands, Vanuatu",NA
"T1PAP","HyeKerkdal1955","886","Assam, India",NA
"XSZU2","Haddon1908","887","Saguane, Kiwai Island, New Guinea",NA
"MHWCL","Haddon1908","888","Saguane, Kiwai Island, New Guinea",NA
"7IRYP","Ivens1934","889","Big Mala, Solomon Islands (Lau language)",NA
"YKXQF","Lewis1951","890","Kerepunu, Papua New Guinea",NA
"FTNBB","Lewis1951","891","Kerepunu, Papua New Guinea",NA
"92R8Z","Jenks1906","892","Ermita, District in Manila, Philippines",NA
"I3CZS","Jenks1906","892",NA,NA
"3TWME","Jenks1906","892",NA,NA
"T6AGS","Jenks1906","892",NA,NA
"N7ITI","Codrington1891","893","Banks Islands, Vanuatu",NA
"QRLTI","Barton1908","894","Wanigela / Collingwood Bay",NA
"ZCJU2","HyeKerkdal1955","895","Polynesian",NA
"DO3PV","Davidson1936","896","Rotuma, Anuda, Tikopia, Banks and New Hebrides (Mota and Santa Maria), Lau and Ellice Island, Tonga, Samoa, Niue, Rakahanga, Manahiki, Scoiety islands, Cook islands, Marquesas, Hawaii, New Zealand",NA
"EWDDK","Davidson1936","896",NA,NA
"GFND6","Davidson1936","896",NA,NA
"MZMD1","LeggattEllaGillFraser1896","897","Cook's Group",NA
"KUYOQ","Codrington1891","899","Banks Islands, Vanuatu",NA
"EQ809","Davidson1920","900","Bengga",NA
"1OMUQ","ArikitaraareSmith1921","901","Atiu Island (Cook Group)",NA
"PJRSP","Culin1899","902","Fiji",NA
"BO7XO","Haddon1908","903","Hula, Papua New Guinea",NA
"QTJOW","HoltzappelGeddes1953","904;suda06","Sundanese",NA
"TVTSE","Deane1921","905","Fijians",NA
"SKVHM","Barton1908","906","Aroma",NA
"DDFZW","Barton1908","907","Aroma / Papuan",NA
"TY2CT","MaudeMaude1936","908;kiri03","Northern Gilbert Islands",NA
"XUDO7","HoltzappelGeddes1953","achi01","Achinese (Sumatra)",NA
"LFY9F","Speiser1923","ambr01","Ambrym, Vanuatu",1
"LTJP6","Speiser1923","ambr02","Ambrym, Vanuatu",1
"ZQO5J","Speiser1923","ambr03","Ambrym, Vanuatu",1
"K4IS9","Speiser1923","ambr04","Ambrym, Vanuatu",1
"POEBR","Feinberg1988","anut01","Nukumanu",NA
"8M2KC","Speiser1923","aoba01","Aoba, Vanuatu",NA
"PAYD9","Codrington1891","aoba01","Lepers Island, Vanuatu",NA
"DITFE","Lewis1951","aoba01","Aoba, Vanuatu",NA
"EEXDC","Speiser1923","aoba02","Aoba, Vanuatu, Lepers Island, Vanuatu",NA
"VDLFR","Codrington1891","aoba02",NA,NA
"QYH3F","Codrington1891","aoba03","Lepers Island (Aoba), Vanuatu",NA
"XOLVS","Codrington1891","aoba04;aoba05","Lepers Island (Aoba), Vanuatu",NA
"1JOQ8","Belo1936","bali01","Bali, Indonesia",NA
"C7OLQ","Belo1936","bali02","Bali, Indonesia",NA
"2RXF9","Belo1936","bali03","Bali, Indonesia",NA
"VGTGB","Belo1936","bali03",NA,NA
"VXEXR","Covarrubias1937","bali04;bali05","(bandjar Kaliungu) Bali, Indonesia",NA
"BQQMU","Geertz2005","bali06","Balinese",NA
"LTUPV","Fuhrmann1922","bata01","Wayang, Java",NA
"FUAN1","Kuschel1975","bell01","Bellonese",NA
"ITQKZ","Kuschel1975","bell02","Bellonese",NA
"AO9HP","Kuschel1975","bell03;bell32;bell33","Bellonese",NA
"RWTHJ","Kuschel1975","bell04","Bellonese",NA
