"Game_ID","Local_name","Common_name","Description_ID","Game","Game_uncertainty","Game_comments","ABVD_code","ABVD_uncertainty","Goal_structure","Goal_uncertainty","Goal_comments","Introduced_keywords","Introduced_coding","Introduced_uncertainty","Introduced_comments","Pulotu_time_ok_0","Pulotu_time_ok_50"
"121",NA,"archery contest","SG2AV",1,NA,NA,NA,NA,"Cooperative group vs. Cooperative group",NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,"throwing a stone behind the surf","0BGJY",1,NA,NA,"475",NA,"Competitive",NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,"stick throwing","ZWITA",1,NA,NA,"1068",NA,"Competitive",NA,NA,NA,NA,NA,NA,NA,NA
"806",NA,"bingo","YGGOO;9K7AD;PMXZK",1,NA,NA,"510;69",NA,NA,NA,NA,"Mission","undetermined",NA,"''permission''",0,0
"807",NA,"bowling","ZEUGN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"808",NA,"cards","LRYYB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"809",NA,"cat's cradle","Z8RX7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"810",NA,"cat's cradle","ZWOGT",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"811",NA,"chess","KKSEO",1,NA,NA,NA,NA,NA,NA,NA,"Origin, foreign","nonlocal",NA,"clearly introduced",NA,NA
"812",NA,"crack the whip","JVJ9Y",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"813",NA,"football","C4NHG",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814",NA,"football","H3QSK",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815",NA,"guessing game","D3J5W",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"816",NA,"hand-ball game","R4O8L",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817",NA,"hand-ball game","9WWUX",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818",NA,"hide the thimble","VMX7G",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819",NA,"hide-and-seek","C4NHG",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820",NA,"hide-and-seek","D3J5W",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821",NA,"hide-and-seek","RGVSN",1,NA,NA,NA,NA,NA,NA,NA,"Origin","local",1,"could also be no info.",NA,NA
"822",NA,"hide-and-seek","YLMT1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823",NA,"hiding and guessing game","BBYCK",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824",NA,"hornet's nest game","H6AMJ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"825",NA,"kite flying","EDLW4",1,NA,NA,NA,NA,NA,NA,NA,"Past, custom, church, import","undetermined",NA,"no info on the origin",NA,NA
"826",NA,"leap frog","SUYRK",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827",NA,"lucky","P3CKX",1,NA,NA,"510;69",NA,"Cooperative group vs. Cooperative group",NA,NA,NA,NA,NA,NA,0,0
"828",NA,"marbles","LRYYB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"829",NA,"marbles","3LERC",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"830",NA,"no competitive games","OEFHZ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"831",NA,"no games","Q5DLL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832",NA,"soccer","JMMNH",1,NA,NA,"510;69",NA,"Cooperative group vs. Cooperative group",1,"not explicitly stated",NA,NA,NA,NA,0,1
"833",NA,"soccer","CYBMT",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834",NA,"stick and ball game","NCFYK",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835",NA,"tag","ST8GR",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"836",NA,"throwing and dodging spears","JJW8D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837",NA,"tournaments","J4OAL",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"838",NA,"tug-of-war","ZXUF9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"839",NA,"tug-of-war","NU7CV",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840",NA,"water sports","D3J5W",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841",NA,NA,"5MRBA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"842",NA,NA,"LNVQY",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
