"Source_ID","eHRAF_Doc_ID","Publication_date","Source_citation","Time_frame","Time_type","Description_ID"
"Thomas1993",NA,"1993","Thomas, A. (1993). Traditional Games: Recording Experiences in Pacific and European Cultures. The Journal of New Zealand Studies, 3(3).",NA,NA,"UJBI0"
"SuttonSmith1951",NA,"1951","Sutton-Smith, B. (1951). The meeting of maori and european cultures and its effects upon the unorganized games of maori children. The Journal of the Polynesian Society, 60(2/3), 93-107.","1870-1920","Focus","IZDKK;FSMYI"
"Speiser1923",NA,"1923","Speiser, F. (1923). Ethnology of Vanuatu: an early 20th century study. University of Hawaii Press, Honolulu.",NA,NA,"SG2AV;0BGJY;ZWITA;LFY9F;LTJP6;ZQO5J;K4IS9;8M2KC;EEXDC;MJW8X;71VEE;GJVTJ;EY8CD"
"Belo1936","of07-006","1936","Belo, J. (1936). The Balinese temper, character and personality. Character and Personality: International Psychological Quarterly, Vol. 4, 120–146. Retrieved from https://ehrafworldcultures.yale.edu/.","1931-1934","Field","1JOQ8;C7OLQ;2RXF9;VGTGB"
"Covarrubias1937","of07-002","1937","Covarrubias, M. (1937). Island of Bali. New York: Knopf, Inc. Retrieved from https://ehrafworldcultures.yale.edu/.","1930-1933","Field","VXEXR"
"Barnett1949","or15-004","1949","Barnett, H. G. (1949). Palauan society: a study of contemporary native life in the Palau Islands. University of Oregon Publications. Retrieved from https://ehrafworldcultures.yale.edu/.","1947-1948","Field","OQDBY;UJLR5;SOR7K"
"Beckwith1970","ov05-003","1970","Beckwith, M. (1970). Hawaiian Mythology  Honolulu: University of Hawaii Press. Retrieved from https://ehrafworldcultures.yale.edu/.","1900-1950","Field","TMIF3;AIPLX;9XUTI;X0UKJ;3Q2KH;4YJHE;TJSYH;U7GL8"
"Buck1957","ov05-002","1957","Buck, P. H. (1957). Arts and crafts of Hawaii. Honolulu: Bishop Museum Press. Retrieved from https://ehrafworldcultures.yale.edu/.","1700-1950","Focus","MMJTM;2YFLX;ZKHFS;JBUW4;MUI2K;ELN6A;EGGJW;WK80K;KGBEL;6Q5GM;MPHCX;V9VO4;AE5UL;Z3DQH;WSMPY;INOPK;XB2UR;ENBAQ;UPRAC;RZJNF;68BPS;RQX6O;6NNGO;3AHFU"
"Ellis1917","ov05-011","1917","Ellis, W. (1917). A narrative of a tour through Hawaii, or Owhyhee: With Remarks on the history, traditions, manners, customs, and language of the inhabitants of the Sandwich Islands. Honolulu, Hawaii: Hawaiian Gazette Co. Ltd. Retrieved from https://ehrafworldcultures.yale.edu/.","1822-1823","Field","I1SUU;ERQZX;5RJ7W;YFNLZ;O2O0L;GZHDR"
"HandyHandyPukui1972","ov05-005","1972","Handy, E. S., Handy, E. G., & Pukui, M. K. (1972). Native planters in old Hawaii: their life, lore, and environment. Honolulu: Bishop Museum Press. Retrieved from https://ehrafworldcultures.yale.edu/.","1930-1939","Field","FJWJ7;FZNHE;OR0E8;8XD8P;D3ZNN;LXU1O;LDFAV;4OM5J;LCIVO;O6JQR;FIZQ2;1GL5B;YAH96"
"SandinSather1980","oc06-029","1980","Sandin, B., & Sather, C. (1980). Iban adat and augury. Penang: Penerbit Universiti Sains Malaysia for School of Comparative Social Sciences. Retrieved from https://ehrafworldcultures.yale.edu/.",NA,NA,"DHJP9"
"Benedict1976","oc06-032","1976","Benedict, S. (1976). Iban way of life: a translation from Tusun Pandiau. Kuching: Borneo Literature Bureau. Retrieved from https://ehrafworldcultures.yale.edu/.",NA,NA,"IWQXI"
"Gomes1911","oc06-007","1911","Gomes, E. H. (1911). Seventeen years among the Sea Dyaks of Borneo: a record of intimate association with the natives of the Bornean jungles. London: Seeley & Company. Retrieved from https://ehrafworldcultures.yale.edu/.","1890","Field","6XFVC"
"Komanyi1973","oc06-028","1973","Komanyi, M. I. (1973). The Real and Ideal Participation in Decision-making of Iban Women: A Study Of A Longhouse Community In Sarawak, East Malaysia (Doctoral dissertation). Retrieved from https://ehrafworldcultures.yale.edu/.","1920-1980","Focus","9FZQF"
"Low1848","oc06-003","1848","Low, H. (1848). Sarawak, its inhabitants and productions. London: R. Bentley. Retrieved from https://ehrafworldcultures.yale.edu/.","1844-1847","Field","9QASL"
"Sutlive1972","oc06-018","1972","Sutlive, V. H. (1972). From longhouse to pasar : urbanization in Sarawak, East Malaysia. Ann Arbor, Michigan: University Microfilms. Retrieved from https://ehrafworldcultures.yale.edu/.","1957-1966 ; 1967-1971","Field","2FYEK;QCHFB;J7E1A"
"Lambrecht1958","oa19-023","1958","Lambrecht, F. (1958). Ifugaw weaving. Folklore Studies, 17, 1-53. Retrieved from https://ehrafworldcultures.yale.edu/.","1924-1940","Field","ZWLXD"
"Asmussen2004","oe05-044","2004","Asmussen, V. (2004). Constructing gender and local morality: exchange practices in a Javanese village. Indonesia and the Malay World, 32(94), 315-329. Retrieved from https://ehrafworldcultures.yale.edu/.","1996-1998","Field","S8LLO;LMTQ4;BRBGA"
"Geertz1961","oe05-020","1961","Geertz, H. (1961). The Javanese Family, a Study of Kinds and Socialization. New York: Free Press of Glencoe. Retrieved from https://ehrafworldcultures.yale.edu/.","1952-1954","Field","3BRUQ"
"Koentjaraningrat1985","oe05-037","1985","Koentjaraningrat (1985). Javanese culture. Singapore; New York: Oxford University Press. Retrieved from https://ehrafworldcultures.yale.edu/.","1958-1959 ; 1970","Field","D0CWU;BG3ZH"
"Appell1965","oc13-001","1965","Appell, G. N. (1965). The nature of social groupings among the Rungus Dusun of Sabah, Malaysia. Retrieved from https://ehrafworldcultures.yale.edu/.","1959-1963","Field","7FDJT"
"Appell1991","oc13-010","1991","Appell, L. W. (1991). Sex role symmetry among the Rungus of Sabah. Female and male in Borneo: Contributions and challenges to gender studies, 1-56. Retrieved from https://ehrafworldcultures.yale.edu/.","1959-1963 ; 1986","Field","BHPJ0;KTHG0"
"Austen1945","ol06-048","1945","Austen, L. (1945). Cultural changes in Kiriwina. Oceania, 16(1), 15-60. Retrieved from https://ehrafworldcultures.yale.edu/.","1931-1936","Field","YC49I;GKYAA;K74DA"
"Malinowski1929","ol06-005","1929","Malinowski, B. (1929). The Sexual Life Of Savages In Northwestern Melanesia. New York: Horace Liveright. Retrieved from https://ehrafworldcultures.yale.edu/.","1914-1920","Field","R5P7G;3UF4J;SCXNL;8VJYV;JFV4F;GFGG2;6KZV8;MDRRA;AK3MA;E049P;QUGBJ"
"Silas1926","ol06-016","1926","Silas, E. (1926) A primitive Arcadia. London: T. Fisher Unwin Ltd. Retrieved from https://ehrafworldcultures.yale.edu/.","1920","Field","EOJB0;LKRU5"
"Weiner1976","ol06-025","1976","Weiner, A. B. (1976). Women of value, men of renown: New perspectives in Trobriand exchange. University of Texas Press.Retrieved from https://ehrafworldcultures.yale.edu/.","1971-1972","Field","SOZUY;ISE51;CIYCA"
"Hocart1929","oq06-001","1929","Hocart, A. M. (1929). Lau Islands, Fiji. Honolulu: Bishop Museum. Retrieved from https://ehrafworldcultures.yale.edu/.","1920","Field","IH4G4;RZ7X0;YJKXH;Y1EN7;DVSVE;KLFJE;QGNWG;YU6S3;GAKKT;8QDDB;ADW4X;QGCLT;JJXJZ;BGNRD;OBD92;PFBOB;GPKET"
"Thompson1940a","oq06-003","1940","Thompson, L. (1940). Fijian frontier. San Francisco: American council, Institute of Pacific relations. Retrieved from https://ehrafworldcultures.yale.edu/.","1933-1934","Field","AOFVP;EB0OT;JRGXE"
"Thompson1940b","oq06-002","1940","Thompson, L. (1940). Southern Lau, Fiji: An Ethnography. Honolulu: Bishop Museum. Retrieved from https://ehrafworldcultures.yale.edu/.","1933-1934","Field","JTVHX;NUCB8;A6OB0;BPXP2;O7OJW;MHOLR;0L2KO;A5N0Y;MKEEE;JEZAJ;JEBGY;SCGRG;QALRM;BTO44"
"Raybeck1996","an05-196","1996","Raybeck, D. (1996). Mad dogs, Englishmen, and the errant anthropologist: Fieldwork in Malaysia. Prospect Heights: Waveland Press. Retrieved from https://ehrafworldcultures.yale.edu/.","1968-1969","Field","AUJRB;EKOWH;0AZNM;6VOTG;8DKIJ;B7BWB"
